Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
280 Medical Supply Inc DBA: 280 Medical Supply,WDD,192825,US-AL,12/31/2025,2026,11600 Old Highway 280 Chelsea AL,Georgia Lay,georgialay@att.net
"Animal Health International, Inc.",WDD,400357,US-AL,12/31/2026,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD05030,US-AR,12/31/2026,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
"Animal Health International, Inc.",WDD,PHWH004129,US-GA,06/30/2027,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
"Animal Health International, Inc.",WDD,17108/16.6a,US-MS,12/31/2026,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5188,US-TN,05/31/2028,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
"Animal Health International, Inc.",WDD,1002846,US-TX,10/03/2027,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD0560733,US-WV,06/30/2028,2026,990 River Oaks Road Boaz AL,Rodney Brothers,rodney.brothers@animalhealthinternational.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,167960,US-AK,06/30/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply,3PL,169155,US-AK,06/30/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply,3PL,195801,US-AL,12/31/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,192092,US-AL,12/31/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,WD01784,US-AR,12/31/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,W001561,US-AZ,03/04/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply,3PL,L00269,US-AZ,03/04/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply,3PL,NPL1334,US-CA,02/01/2027,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,OSD3321,US-CA,09/01/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,WHO.0007135,US-CO,10/31/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
ASD Specialty Healthcare LLC DBA Oncology Supply DBA: ASD Healthcare; Besse Medical; Oncology Supply,WDD,CSW.0000972,US-CT,06/30/2026,2026,2811 Horace Shepard Drive Dothan AL,Joe Varner,joe.varner@oncologysupply.com
