Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Animal Health International, Inc.",WDD,195552,US-AL,12/31/2026,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD01990,US-AR,12/31/2026,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,W04111,US-KY,09/30/2026,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,9291,US-LA,12/31/2026,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,2018020314,US-MO,10/31/2027,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,88-W-5565,US-OK,06/30/2027,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,1002624,US-TX,12/05/2026,2026,1202 Esi Drive Springdale AR,Don Denard,don.denard@animalhealthinternational.com
"D. L. Baker Drug Company, Inc DBA: Cornerstone Pharmacy Rose City",WDD,WD05883,US-AR,12/31/2026,2025,4307 E Broadway Street North Little Rock AR,Randy Kassissieh,randyk@cornerstonepharmacy.com
"D. L. Baker Drug Company, Inc DBA: Cornerstone Pharmacy Rose City",WDD,5006403,US-NJ,01/31/2026,2025,4307 E Broadway Street North Little Rock AR,Randy Kassissieh,randyk@cornerstonepharmacy.com
J M Smith Corporation dba Smith Drug Company,WDD,193166,US-AL,12/31/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,WD03067,US-AR,12/31/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,W003914,US-AZ,10/31/2027,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,OSD8392,US-CA,11/01/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,WHO.0008760,US-CO,10/31/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,232837,US-FL,08/31/2027,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,PHWH002154,US-GA,06/30/2027,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,6337,US-IA,12/31/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,4461674,US-ID,12/31/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
J M Smith Corporation dba Smith Drug Company,WDD,004.002099,US-IL,12/31/2026,2026,Paragould AR,Robert Barrett,statelicensing@smithdrug.com
