Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
AmerisourceBergen Drug Corporation,WDD,W002864,US-AZ,10/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,3PL,L000291,US-AZ,10/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,7118,US-CA,05/01/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,WHO.0008237,US-CO,10/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,9403,US-LA,12/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,5306004900,US-MI,06/08/2027,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,2017008932,US-MO,10/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,17698/16.5a,US-MS,12/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,PHA-WDD-LIC-95459,US-MT,11/30/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,1540,US-NE,07/01/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,WD00012205,US-NM,12/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,WHO2312,US-NV,10/31/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,WHS.012653600-03,US-OH,06/30/2027,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,1002129,US-TX,01/22/2027,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,11670102-1710,US-UT,09/30/2027,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
AmerisourceBergen Drug Corporation,WDD,WD2354,US-WY,06/30/2026,2026,7775 W Buckeye Road STE 150 Phoenix AZ,Adesoji Adedoja,Adesoji.Adedoja@cencora.com
"Animal Health International, Inc.",WDD,W002389,US-AZ,10/31/2027,2026,550 East Frye Road Suite 1 Chandler AZ,Scott Strand,scott.strand@animalhealthinternational.com
"AnovoRx Distribution, LLC",WDD,222422,US-AK,06/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,196643,US-AL,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,WD05932,US-AR,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,W003768,US-AZ,10/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",3PL,L000429,US-AZ,10/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,OSD8557,US-CA,05/01/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,DM240000287,US-DC,09/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,232985,US-FL,10/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,PHWH005708,US-GA,06/30/2027,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,4.005495,US-IL,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,5-121960,US-KS,06/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,W07608,US-KY,09/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,11211,US-LA,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,WH70003488,US-ME,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,381879,US-MN,05/31/2024,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,2024020918,US-MO,10/31/2027,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,19005/16.5a,US-MS,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,1986,US-NC,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,1835,US-NE,07/01/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,8005,US-NH,03/13/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,7202926,US-NJ,01/31/2027,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,WD20220018,US-NM,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,WH03588,US-NV,10/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,40843,US-NY,06/30/2027,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,8-W-8676,US-OK,08/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,W1-0005336,US-OR,09/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,DIS03977,US-RI,09/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,600-3599,US-SD,12/31/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,1003709,US-TX,06/01/2027,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,13416921-1710,US-UT,09/30/2027,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,219002126,US-VA,02/28/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,PHWH.FX.61510278,US-WA,09/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
"AnovoRx Distribution, LLC",WDD,WD0560632,US-WV,06/30/2026,2026,"17500 South 40th St, Building B, Suite B600B Chandler AZ",Cathy Bellehumeur,jessica.newman@anovorx.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,WD03267,US-AR,12/31/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,W000854,US-AZ,10/31/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,4789,US-CA,10/01/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,7598,US-CO,10/31/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,232384,US-FL,02/28/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,PHWH002352,US-GA,06/30/2027,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,004-002901,US-IL,12/31/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,5-02344,US-KS,06/30/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,W02366,US-KY,09/30/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,5254,US-LA,12/31/2025,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,WH70001359,US-ME,12/31/2025,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,2004012121,US-MO,10/31/2027,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,15866/16.5a,US-MS,12/31/2026,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,5003632,US-NJ,01/31/2027,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
Atlantic Biologicals Corp DBA: Atlantic Biologicals,WDD,WD00010829,US-NM,12/31/2027,2026,Tucson AZ,Jessica Benson,Licensing@atlanticbiologicals.com
