Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
AmerisourceBergen Drug Corporation,WDD,OSD4609,US-CA,06/01/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,WHI-6014,US-CO,10/31/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,5-120495,US-KS,06/30/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,5306001415,US-MI,08/07/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,2002028650,US-MO,10/31/2027,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,16712/16.5a,US-MS,12/31/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,PHA-WDD-LIC-97926,US-MT,11/30/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,214,US-NE,07/01/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,WD00011290,US-NM,12/31/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,WHO3493,US-NV,10/31/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,11303700,US-OH,06/30/2027,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,88-W-7999,US-OK,05/31/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,600-0825,US-SD,12/31/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,103678,US-TX,02/21/2028,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,12853188-1710,US-UT,09/30/2027,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
AmerisourceBergen Drug Corporation,WDD,1139,US-WY,06/30/2026,2026,501 W 44th Ave Denver CO,Mason C Brainard-Fernandez,mason.brainard-fernandez@cencora.com
"Animal Health International, Inc.",WDD,WHI.0006020,US-CO,10/31/2026,2026,620 O' Street Greeley CO,Brady Merritt,Brady.Merritt@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WHI.0006021,US-CO,10/31/2026,2026,Route 1 20138 Riverside Drive Sterling CO,Cindy Moor-Templeman,cindy.templeman@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WHI.0006019,US-CO,10/31/2026,2026,30408 East Highway 50 La Junta CO,Darrel Hoss,darrel.hoss@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-125497,US-KS,06/30/2027,2026,30408 East Highway 50 La Junta CO,Darrel Hoss,darrel.hoss@animalhealthinternational.com
"Animal Health International, Inc.",WDD,44,US-NE,07/01/2027,2026,620 O' Street Greeley CO,Brady Merritt,Brady.Merritt@animalhealthinternational.com
"Animal Health International, Inc.",WDD,46,US-NE,07/01/2027,2026,Route 1 20138 Riverside Drive Sterling CO,Cindy Moor-Templeman,cindy.templeman@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD20220548,US-NM,07/23/2026,2026,30408 East Highway 50 La Junta CO,Darrel Hoss,darrel.hoss@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD2494,US-WY,06/30/2027,2026,620 O' Street Greeley CO,Brady Merritt,Brady.Merritt@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD2501,US-WY,06/30/2027,2026,Route 1 20138 Riverside Drive Sterling CO,Cindy Moor-Templeman,cindy.templeman@animalhealthinternational.com
"Aspen Distribution, Inc. DBA: Aspen Distribution, Inc.",3PL,WHI.0006118,US-CO,10/31/2020,2026,19503 E. 34th Drive Aurora CO,Robert Scott,bob@aspendistribution.com
"Cardinal Health 110, LLC",WDD,OSD4646,US-CA,07/01/2026,2026,4875 Florence Street Denver CO,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,WHI.0006012,US-CO,10/31/2026,2026,4875 Florence Street Denver CO,Keegan Chamberlain,licensure@cardinalhealth.com
