Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,196937,US-AL,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,W003753,US-AZ,10/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,OSD8063,US-CA,05/01/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,WHO.0008581,US-CO,10/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,CSW.0005154,US-CT,06/30/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,A4-0000026,US-DE,09/30/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,PHWH004980,US-GA,06/30/2027,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,004.004724,US-IL,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,W04736,US-KY,09/30/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,11512,US-LA,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,5306007009,US-MI,06/25/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,CS-101649,US-MS,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,963,US-NC,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,5004918,US-NJ,01/31/2027,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,038658,US-NY,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,0132000113,US-OH,06/30/2027,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,3000009966,US-PA,12/31/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,DIS03837,US-RI,09/30/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,00007465,US-TN,02/29/2028,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,1003109,US-TX,11/03/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,0219002036,US-VA,02/28/2027,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"Hanna's Pharmaceutical Supply Co., Inc.",WDD,PHWH.FX.61148306,US-WA,09/30/2026,2026,2505 West Sixth Street Wilmington DE,Jonathan Hanna,jhanna@hannapharm.com
"MARLEX PHARMACEUTICALS, INC.",WDD,228701,US-AK,06/30/2028,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,194799,US-AL,12/31/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,WD04217,US-AR,12/31/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,M000541,US-AZ,10/31/2027,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,WHO-0007791,US-CO,10/31/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,A4-0002441,US-DE,09/30/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,232713,US-FL,01/31/2027,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,PHMA000504,US-GA,06/30/2027,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,M45313,US-ID,12/31/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,4004531,US-IL,12/31/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,5-109983,US-KS,06/30/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,W-03424,US-KY,09/30/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,9084,US-LA,12/31/2026,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
"MARLEX PHARMACEUTICALS, INC.",WDD,D06538,US-MD,05/31/2027,2026,65 LUKENS DRIVE NEW CASTLE DE,Samir Patel,SAMIR@MARLEXPHARM.COM
