Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
AmerisourceBergen Drug Corporation,WDD,OSD4598,US-CA,06/01/2026,2026,238 Sand Island Access Rd. M-1 Honolulu HI,Keri Klemek,QRO-Hawaii@amerisourcebergen.com
AmerisourceBergen Drug Corporation,WDD,NR-PHW030,US-GU,09/30/2026,2026,238 Sand Island Access Rd. M-1 Honolulu HI,Keri Klemek,QRO-Hawaii@amerisourcebergen.com
AmerisourceBergen Drug Corporation,WDD,PWD-91,US-HI,12/31/2027,2026,238 Sand Island Access Rd. M-1 Honolulu HI,Keri Klemek,QRO-Hawaii@amerisourcebergen.com
AmerisourceBergen Drug Corporation,WDD,WP-012,US-MP,03/31/2027,2026,238 Sand Island Access Rd. M-1 Honolulu HI,Keri Klemek,QRO-Hawaii@amerisourcebergen.com
AmerisourceBergen Drug Corporation,WDD,1002213,US-TX,03/22/2027,2026,238 Sand Island Access Rd. M-1 Honolulu HI,Keri Klemek,QRO-Hawaii@amerisourcebergen.com
"Animal Health International, Inc.",WDD,PWD-177,US-HI,12/31/2027,2026,64-1021 Mamalahoa Hwy Kamuela HI,Dwayne Cypriano,dwayne.cypriano@animalhealthinternational.com
"Cardinal Health 200, LLC",WDD,OSD5984,US-CA,02/01/2027,2026,1009 Opule Street Kapolei HI,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,NR-PHW128,US-GU,09/30/2026,2026,1009 Opule Street Kapolei HI,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,PWD-49,US-HI,12/31/2027,2026,1009 Opule Street Kapolei HI,Keegan Chamberlain,licensure@cardinalhealth.com
Disabled Veterans Hawaii LLC,WDD,187,US-HI,12/31/2025,2025,Waipahu HI,Robert Reyes,rob@vetshi.com
Disabled Veterans Hawaii LLC,WDD,5-118337,US-KS,06/30/2024,2025,Waipahu HI,Robert Reyes,rob@vetshi.com
"Hawaii Mega-Cor, Inc.",WDD,NRPHW0028,US-GU,09/30/2026,2026,99-045 Koaha Way Aiea HI,Wesley Waniya,wesley.waniya@animalhealthinternational.com
"Hawaii Mega-Cor, Inc.",WDD,PWD176,US-HI,12/31/2027,2026,99-045 Koaha Way Aiea HI,Wesley Waniya,wesley.waniya@animalhealthinternational.com
"Henry Schein, Inc.",WDD,NRPHW098,US-GU,09/30/2026,2026,846 Pohukaina Street Honolulu HI,Jeff Weinstein,Jeff.Weinstein@henryschein.com
"Henry Schein, Inc.",WDD,PWD-200,US-HI,12/31/2027,2026,846 Pohukaina Street Honolulu HI,Jeff Weinstein,Jeff.Weinstein@henryschein.com
McKesson Corporation (Honolulu) DBA: McKesson Drug Company,WDD,W001776,US-AZ,10/31/2026,2026,Honolulu HI,Matthew Stading,Matt.Stading@McKesson.com
McKesson Corporation (Honolulu) DBA: McKesson Drug Company,WDD,OSD4505,US-CA,10/01/2026,2026,Honolulu HI,Matthew Stading,Matt.Stading@McKesson.com
McKesson Corporation (Honolulu) DBA: McKesson Drug Company,WDD,NR-PHW059,US-GU,09/30/2026,2026,Honolulu HI,Matthew Stading,Matt.Stading@McKesson.com
McKesson Corporation (Honolulu) DBA: McKesson Drug Company,WDD,PWD-18,US-HI,12/31/2027,2026,Honolulu HI,Matthew Stading,Matt.Stading@McKesson.com
McKesson Corporation (Honolulu) DBA: McKesson Drug Company,WDD,WP-013,US-MP,08/31/2027,2026,Honolulu HI,Matthew Stading,Matt.Stading@McKesson.com
McKesson Corporation (Honolulu) DBA: McKesson Drug Company,WDD,PHWH.FX.00058344,US-WA,09/30/2026,2026,Honolulu HI,Matthew Stading,Matt.Stading@McKesson.com
"Medline Industries, LP",WDD,OSD7231,US-CA,10/01/2026,2026,2341 Lauwiliwili St Kapolei HI,Mary Leonard,mleonard@medline.com
"Medline Industries, LP",WDD,PWD-193,US-HI,12/31/2027,2026,2341 Lauwiliwili St Kapolei HI,Mary Leonard,mleonard@medline.com
"Medline Industries, LP",WDD,5003912,US-NJ,01/31/2027,2026,2341 Lauwiliwili St Kapolei HI,Mary Leonard,mleonard@medline.com
"Patterson Dental Supply, Inc.",WDD,PWD-139,US-HI,12/31/2027,2026,"91-291 Kalaeloa Blvd., Suite C-1 KAPOLEI HI",Kelley Karau,facilitylicensing@pattersoncompanies.com
Pharmacy Corporation of America DBA: PharMerica,WDD,PWD-101,US-HI,12/31/2025,2025,3375 Koapaka St. STE H-435 Honolulu HI,Susan Reinach,sxr4100@pharmerica.com
Pharmacy Corporation of America DBA: PharMerica,WDD,PWD-76,US-HI,12/31/2025,2025,3375 Koapaka St. STE H-425 Honolulu HI,Susan Reinach,sxr4100@pharmerica.com
Pharmacy Corporation of America DBA: PharMerica,WDD,PWD-53,US-HI,12/31/2025,2025,1900 Main St. STE 3 Wailuku HI,Susan Reinach,sxr4100@pharmerica.com
Pharmanutra Inc.,WDD,PWD-12,US-HI,12/31/2019,2026,"600 Kapiolani Blvd, Suite 403 Honolulu HI",Rhys Amimoto,pharmanutrainc@gmail.com
Pharmanutra Inc. DBA: Pharmanutra Inc.,3PL,PWD-12,US-HI,12/31/2019,2026,"600 Kapiolani Blvd, Suite 403 Honolulu HI",Rhys Amimoto,pharmanutrainc@gmail.com
