Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Animal Health International, Inc.",WDD,W41110,US-ID,12/31/2026,2026,203 Fourth Avenue West Twin Falls ID,Luke Theberge,luke.theberge@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WH03586,US-NV,10/31/2026,2026,203 Fourth Avenue West Twin Falls ID,Luke Theberge,luke.theberge@animalhealthinternational.com
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,196805,US-AL,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,WD06072,US-AR,12/31/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,W003961,US-AZ,10/31/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,WHO.0008788,US-CO,10/31/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,CSW.0005574,US-CT,06/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,PHWH005988,US-GA,06/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,W74973,US-ID,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,5-124582,US-KS,06/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,W07612,US-KY,09/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,011424,US-LA,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,5306008063,US-MI,04/08/2027,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,2025000297,US-MO,10/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,19004,US-MS,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,PHA-WDD-LIC-111648,US-MT,11/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,2040,US-NC,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,08196,US-NH,12/03/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,5006691,US-NJ,01/31/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,WD20220288,US-NM,12/31/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,41441,US-NY,11/30/2027,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,130000755,US-OH,06/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,88-W-8862,US-OK,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,DIS04077,US-RI,09/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,600-3710,US-SD,12/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,00011050,US-TN,12/31/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,1004047,US-TX,01/03/2027,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,14190421-1710,US-UT,09/30/2027,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,219002138,US-VA,02/28/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,39.0134863,US-VT,07/31/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,PHWH.FX.61642106,US-WA,09/30/2025,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
Boise IV Supply Co LLC DBA: 360 Health Services; Boise IV Supply,WDD,WD0560691,US-WV,06/30/2026,2025,1675 N Pineview Ln Ste 101 Boise ID,Oscar Figueroa,info@360health.services
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,OSD1771,US-CA,04/01/2027,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,W230,US-ID,12/31/2026,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,166,US-MT,11/30/2026,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,WH00318,US-NV,10/31/2026,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,W3-0000033,US-OR,09/30/2026,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,9165082-1710,US-UT,09/30/2027,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,FX00003708,US-WA,09/30/2026,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
MWI Veterinary Supply Co DBA: MWI Animal Health,WDD,5008WY,US-WY,06/30/2026,2026,2117 N Elder St. Nampa ID,P.J. VanderMeersch,pvandermeersch@mwianimalhealth.com
Premier Pharmaceuticals LLC,WDD,W003445,US-AZ,10/31/2027,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,OSD7919,US-CA,06/01/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,WHO.0008496,US-CO,10/31/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,W57324,US-ID,12/31/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,48002699A,US-IN,09/30/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,W07718,US-KY,09/30/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,10896,US-LA,12/31/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,382057,US-MN,05/31/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
Premier Pharmaceuticals LLC,WDD,19257,US-MS,12/31/2026,2026,7259 W Franklin Rd Boise ID,Frankie Sciotto,fsciotto@premierpharma.com
