Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"3 R Health Care Products, Inc.",WDD,004002030,US-IL,11/30/2026,2026,2751 West 51st Street Chicago IL,Dr. Helen A Randolph,randolph_rx@att.net
A-S Medication Solutions LLC,WDD,159596,US-AK,06/30/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,WD01292,US-AR,12/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,6434,US-CA,11/01/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,WHO.0007221,US-CO,10/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,CSW.0000793,US-CT,06/30/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,DM-0900026,US-DC,03/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,A4-0002080,US-DE,09/30/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,232507,US-FL,08/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,PHWH003661,US-GA,06/30/2027,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,NR-PHW033,US-GU,09/30/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,40774,US-IA,12/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,W3264,US-ID,12/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,004.002860,US-IL,12/31/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
A-S Medication Solutions LLC,WDD,48001896A,US-IN,09/30/2026,2026,2401 Commerce Dr Libertyville IL,Walter Hoff,walter.hoff@a-smeds.com
