Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"A.F. HAUSER, INC.",WDD,193431,US-AL,12/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,WD03263,US-AR,12/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,W001257,US-AZ,10/31/2027,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,OSD4610,US-CA,03/01/2027,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,WHO.0007306,US-CO,10/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,CSW.0001939,US-CT,06/30/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,DM0700974,US-DC,08/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,231896,US-FL,02/28/2027,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,PHWH002183,US-GA,06/30/2027,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,E08242,US-HI,06/30/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,6457,US-IA,12/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,W3084,US-ID,12/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,004.002196,US-IL,12/31/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,48000010A,US-IN,09/30/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
"A.F. HAUSER, INC.",WDD,5-02176,US-KS,06/30/2026,2026,VALPARAISO IN,JANET HAUSER,jhauser@hauserinc.com
