Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Animal Health International, Inc.",WDD,WD06249,US-AR,12/31/2026,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WHO.0007237,US-CO,10/31/2026,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-31442,US-KS,06/30/2027,2026,1449 W Old Highway 40 Salina KS,Jolene Goddard,Jolene.Goddard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-31423,US-KS,06/30/2027,2026,1210 East Trail St Dodge City KS,Micki Austin,micki.austin@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-31422,US-KS,06/30/2027,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Animal Health International, Inc.",WDD,2000155306,US-MO,10/31/2027,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Animal Health International, Inc.",WDD,2013019603,US-MO,10/31/2027,2026,1449 W Old Highway 40 Salina KS,Jolene Goddard,Jolene.Goddard@animalhealthinternational.com
"Animal Health International, Inc.",WDD,45,US-NE,07/31/2027,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Animal Health International, Inc.",WDD,88-W-5471,US-OK,03/31/2027,2026,1210 East Trail St Dodge City KS,Micki Austin,micki.austin@animalhealthinternational.com
"Animal Health International, Inc.",WDD,88-W-4500,US-OK,12/31/2026,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Animal Health International, Inc.",WDD,1002089,US-TX,12/12/2026,2026,2103 West Jones Frontage Road Garden City KS,Pedro Pichardo,Pedro.Pichardo@animalhealthinternational.com
"Cardinal Health 200, LLC",WDD,WHO.0008714,US-CO,10/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,6301,US-IA,12/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,004.002130,US-IL,12/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,278.000284,US-IL,12/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,23-111948,US-KS,06/30/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,5-00890,US-KS,06/30/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,362592,US-MN,05/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,901019,US-MO,10/31/2027,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,2019004914,US-MO,10/31/2027,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,19126,US-MS,12/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,15743/16.5a,US-MS,12/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,249,US-NE,07/01/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,88-L-4621,US-OK,03/31/2027,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,88-W-2900,US-OK,07/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,600-1904,US-SD,12/31/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,1003555,US-TX,10/27/2026,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,13405006-1714,US-UT,09/30/2027,2026,11300 Glenwood Overland Park KS,Keegan Chamberlain,licensure@cardinalhealth.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,5-31405,US-KS,06/30/2026,2026,1970 Southwest Street Suite 360 Wichita KS,Ben Bailey,bbailey@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,2016040480,US-MO,10/31/2027,2026,1970 Southwest Street Suite 360 Wichita KS,Ben Bailey,bbailey@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,1001947,US-TX,03/14/2026,2026,1970 Southwest Street Suite 360 Wichita KS,Ben Bailey,bbailey@concordancehs.com
"Heart to Heart International, Incorporated",WDD,WD06149,US-AR,12/31/2026,2026,11550 Renner Blvd Lenexa KS,Ricky W Bradshaw,rick.bradshaw@hearttoheart.org
"Heart to Heart International, Incorporated",WDD,PHWH005917,US-GA,06/30/2027,2026,11550 Renner Blvd Lenexa KS,Ricky W Bradshaw,rick.bradshaw@hearttoheart.org
"Heart to Heart International, Incorporated",WDD,5-108348,US-KS,06/30/2026,2026,11550 Renner Blvd Lenexa KS,Ricky W Bradshaw,rick.bradshaw@hearttoheart.org
"Heart to Heart International, Incorporated",WDD,11338,US-LA,12/31/2026,2026,11550 Renner Blvd Lenexa KS,Ricky W Bradshaw,rick.bradshaw@hearttoheart.org
