Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"American Medicine, Inc. DBA: American Medicine, Inc.",WDD,8866,US-LA,12/31/2021,2026,2924 Brakley Drive #B-4 Baton Rouge LA,Bridgit Schexnayder,bridgitschex@msn.com
"AOSS Medical Supply, LLC",WDD,4029,US-LA,12/31/2026,2026,4971 Central Ave Monroe LA,Leslie Nicholson,leslie_nicholson@aossmedical.com
"Cardinal Health 200, LLC",WDD,192854,US-AL,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,195134,US-AL,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,WD05757,US-AR,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,W003376,US-AZ,10/31/2027,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,OSD6533,US-CA,12/01/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,CSW.0003309,US-CT,06/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,02123,US-FL,07/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,41446,US-IA,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,W57450,US-ID,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,23-111887,US-KS,06/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,W04334,US-KY,09/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,4051,US-LA,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,D05552,US-MD,05/31/2027,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,5306004423,US-MI,08/05/2027,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,2010022196,US-MO,10/31/2027,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,15762/16.5a,US-MS,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,15763/16.3a,US-MS,12/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,PHA-WDD-LIC-26255,US-MT,11/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,Whol2355,US-ND,06/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",3PL,TPL552,US-ND,06/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,5848,US-NH,06/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,5003569,US-NJ,01/31/2027,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,037899,US-NY,11/30/2028,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,W1-0004225,US-OR,09/30/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,3000009197,US-PA,07/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,0000004161,US-TN,08/31/2026,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 200, LLC",WDD,1001167,US-TX,02/25/2027,2026,701 Pride Drive Hammond LA,Keegan Chamberlain,licensure@cardinalhealth.com
"Compounding Pharmacies of Louisiana, Inc. DBA: Professional Arts Pharmacy",WDD,4662,US-LA,12/31/2026,2026,128 Curran Ln Lafayette LA,David Mayer,davidm@professionalarts.com
"Crown Pharmaceuticals, Inc.",WDD,194674,US-AL,12/31/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,WD03953,US-AR,12/31/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,W002783,US-AZ,10/31/2027,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,6818,US-CA,05/01/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,PHWH003697,US-GA,06/30/2027,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,004.003285,US-IL,12/31/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,5-31419,US-KS,06/30/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,W02803,US-KY,09/30/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,8484,US-LA,12/31/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,D07798,US-MD,05/31/2027,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,363040,US-MN,05/31/2026,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
"Crown Pharmaceuticals, Inc.",WDD,2025034482,US-MO,10/31/2027,2026,5420 Toler Street Harahan LA,Tiffany Winston,Info@crownpharma.com
