Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"ACE Surgical Supply Company, Inc.",WDD,WD03559,US-AR,12/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,W001704,US-AZ,10/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,OSD5433,US-CA,09/01/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,CSW.0002226,US-CT,06/30/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,W3285,US-ID,12/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,502534,US-KS,06/30/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,6228,US-LA,12/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,5042,US-NH,06/30/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,5003727,US-NJ,01/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,WH01553,US-NV,10/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,29585,US-NY,05/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"ACE Surgical Supply Company, Inc.",WDD,223745,US-WI,05/31/2024,2025,1034 Pearl Street Brockton MA,Louis Falcone,regulatoryandquality@acesurgical.com
"AIT Worldwide Logistics, Inc.",3PL,,,,2026,370 McClellan Hwy East Boston MA,Aaron Ambrite,aambrite@aitworldwide.com
AmerisourceBergen Drug Corp,WDD,OSD4764,US-CA,04/30/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,CSW.0000889,US-CT,06/30/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,WD372,US-MA,11/30/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,WH70000839,US-ME,12/31/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,5306001979,US-MI,08/26/2027,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,2003006222,US-MO,10/31/2027,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,16529,US-MS,12/31/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,2759,US-NH,06/30/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,5004711,US-NJ,01/31/2027,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,026087,US-NY,05/31/2027,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,WFSR.011335400-03,US-OH,06/30/2027,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,7200000251,US-PA,06/30/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,DIS01322,US-RI,09/30/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,0105939,US-TX,02/28/2026,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
AmerisourceBergen Drug Corp,WDD,39.0000358,US-VT,07/31/2027,2026,101 Norfolk Street Mansfield MA,Lorna Shute,lshute@amerisourcebergen.com
Asaman Inc.,WDD,WD480,US-MA,11/30/2026,2026,AVON MA,Elvis Usumanu R.PH,mail@asaman.com
"ASD Specialty Healthcare, LLC",WDD,CSW.0004891,US-CT,06/30/2026,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,MA0096859,US-MA,09/08/2026,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,WH70003294,US-ME,12/31/2026,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,7307,US-NH,06/30/2026,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,5003614,US-NJ,01/31/2027,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,038950,US-NY,05/31/2027,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,DIS03607,US-RI,09/30/2026,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
"ASD Specialty Healthcare, LLC",WDD,39.0134697,US-VT,07/31/2027,2026,"101 Norfolk Street, Suite B Mansfield MA",Lorna Shute,Lorna.Shute@cencora.com
Biofrontera Inc,WDD,194394,US-AK,06/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,195300,US-AL,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,WD04835,US-AR,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,M001986,US-AZ,10/31/2027,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,OSD8197,US-CA,01/01/2027,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,WHO.0008497,US-CO,10/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,CSM.0001104-OOS,US-CT,12/31/2048,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,DM250000610,US-DC,05/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,DCDEM0139,US-DC,09/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,40931,US-FL,10/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,46348,US-FL,10/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,PHWH004099,US-GA,06/30/2027,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,40646,US-IA,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,6971687,US-ID,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,4-117740,US-KS,06/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,15-122633,US-KS,06/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,11798,US-LA,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,CC0828,US-MA,07/01/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,VIR200139,US-MA,11/28/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,D07127,US-MD,05/31/2027,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,5306006528,US-MI,10/19/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,462745,US-MN,05/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,382069,US-MN,05/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,2020009849,US-MO,10/31/2027,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,18777,US-MS,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,PHA-WDD-LIC-121469,US-MT,11/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,1243,US-NC,12/31/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,Whol2810,US-ND,06/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,07474,US-NH,06/30/2026,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
Biofrontera Inc,WDD,5005166,US-NJ,01/31/2027,2026,"660 Main Street, 1st Floor WOBURN MA",Darrell Lowman,d.lowman@bfinc.com
