Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
Alliance Specialty Pharmacy LLC DBA: ASP Distribution,WDD,5306005727,US-MI,09/18/2024,2025,25301 Van Dyke Ave Centerline MI,Pritesh Ray,aspdistribution1@gmail.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,209378,US-AK,06/30/2028,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,194637,US-AL,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,WD04373,US-AR,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,W004026,US-AZ,10/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,WHO.0008002,US-CO,10/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,CSW.0003144,US-CT,06/30/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,DM250000554,US-DC,09/30/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,A4-0013252,US-DE,09/30/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,233032,US-FL,11/30/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,PHWH005727,US-GA,06/30/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,7684,US-IA,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,W70276,US-ID,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,004.005654,US-IL,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,48002657A,US-IN,09/30/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,5-125314,US-KS,06/30/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,W03268,US-KY,09/30/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,11625,US-LA,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,D07702,US-MD,05/31/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,WH70003562,US-ME,12/31/2026,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,5306004208,US-MI,08/14/2028,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,5306008268,US-MI,09/17/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,382002,US-MN,05/31/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
American Pharmaceutical Ingredients LLC DBA: American Pharmaceutical Distributors,WDD,2025016092,US-MO,10/31/2027,2026,6650 Highland Road Unit 302 Waterford MI,Albretta Files,compliance@americanapd.com
