Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
AmerisourceBergen Drug Corporation,WDD,OSD7046,US-CA,04/01/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,WHO.0008197,US-CO,10/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,9038,US-IA,12/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,004.004324,US-IL,12/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,48002259A,US-IN,09/30/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,5-101327,US-KS,06/30/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,5306004774,US-MI,11/09/2027,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,363446,US-MN,05/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,2016036540,US-MO,10/31/2027,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,16510/16.5a,US-MS,12/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,42701,US-MT,11/30/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,Who11832,US-ND,06/30/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,1358,US-NE,07/01/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,WHS.012646300-03,US-OH,06/30/2027,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,600-2651,US-SD,12/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,1002042,US-TX,09/29/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,2804-45,US-WI,05/31/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
AmerisourceBergen Drug Corporation,WDD,WD1959,US-WY,06/30/2026,2026,500 Innovation Drive Shakopee MN,Nancy Strelow,QRO-Shakopee@amerisourceBergen.com
