Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
A2A Integrated Logistics Inc,WDD,179150,US-AK,06/30/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,196177,US-AL,12/31/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,W003503,US-AZ,10/31/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,OSD7641,US-CA,09/01/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,WHO.0008559,US-CO,10/31/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,CSW.0005077,US-CT,06/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,1232816,US-FL,04/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,PHWH004968,US-GA,05/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,004.005054,US-IL,12/31/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,48002472A,US-IN,09/30/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,4-114158,US-KS,06/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,W04628,US-KY,09/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,10117,US-LA,12/31/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,5306006653,US-MI,05/04/2027,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,2021013882,US-MO,10/31/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,CS-18323,US-MS,12/31/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,502,US-NC,12/31/2019,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,Whol2721,US-ND,06/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,1629,US-NE,07/01/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,038684,US-NY,12/31/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,0130000292,US-OH,06/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,88-W-6835,US-OK,03/31/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,0000516,US-OR,09/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,19998,US-SC,06/30/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,600-3470,US-SD,12/31/2025,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,0000006460,US-TN,01/31/2027,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,1003124,US-TX,11/30/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,0219001961,US-VA,02/28/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
A2A Integrated Logistics Inc,WDD,3143,US-WI,05/31/2026,2025,Fayetteville NC,Anthony L Bryant,tbryant@a2a-logistic.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,237963,US-AK,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,196967,US-AL,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,WD06129,US-AR,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,L000514,US-AZ,10/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,WHO.0008808,US-CO,10/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,CSW.0005630,US-CT,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,A4-0013232,US-DE,09/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,2502,US-FL,06/30/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,PHWH006130,US-GA,06/30/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,4.005638,US-IL,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,94000316A,US-IN,09/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,23-125112,US-KS,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,TPL00491,US-KY,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,11582,US-LA,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,11582,US-LA,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,WH70003558,US-ME,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,5306008220,US-MI,10/07/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,900282,US-MN,10/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,2025011090,US-MO,10/31/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,19071/16.3A,US-MS,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,PHA-WDD-LIC-112430,US-MT,11/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,601,US-NC,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,1754,US-NC,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,08268,US-NH,03/21/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,WH03858,US-NV,10/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,41766,US-NY,05/31/2028,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,170000159,US-OH,06/30/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,88-L-9033,US-OK,04/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,DDA-0000753,US-OR,09/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,4000007783,US-PA,04/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,DIS04126,US-RI,09/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,PY.236413PL,US-SC,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,600-3763,US-SD,12/31/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,11418,US-TN,04/30/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,1004133,US-TX,03/25/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,14215721-1714,US-UT,09/30/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,242000327,US-VA,02/28/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,39.0134894,US-VT,07/31/2027,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,WDD,PHWH.FX.61682360,US-WA,09/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,116-245,US-WI,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
AKRON PHARMACEUTICALS INC DBA: AIRLIE PHARMA,3PL,3PL0000488,US-WV,06/30/2026,2026,2080 Enterprise Dr NE Leland NC,VINOD VERA REDDY,vinny@akronpharma.com
"Almac Clinical Services, LLC",WDD,130,US-NC,12/31/2026,2026,4204 Technology Drive Durham NC,Deborah Christine Gimber,acslicensing@almacgroup.com
AmerisourceBergen Drug Corp DBA: AmerisourceBergen Drug Corp,WDD,194497,US-AL,12/31/2026,2026,120 Trans Air Drive Morrisville NC,Christy Valerio,christy.valerio@cencora.com
AmerisourceBergen Drug Corp DBA: AmerisourceBergen Drug Corp,WDD,OSD-5213,US-CA,08/01/2026,2026,120 Trans Air Drive Morrisville NC,Christy Valerio,christy.valerio@cencora.com
AmerisourceBergen Drug Corp DBA: AmerisourceBergen Drug Corp,WDD,PHWH002620,US-GA,06/30/2027,2026,120 Trans Air Drive Morrisville NC,Christy Valerio,christy.valerio@cencora.com
AmerisourceBergen Drug Corp DBA: AmerisourceBergen Drug Corp,WDD,D07332,US-MD,05/31/2027,2026,120 Trans Air Drive Morrisville NC,Christy Valerio,christy.valerio@cencora.com
