Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Animart, LLC",WDD,PHA-WDD-LIC-66867,US-MT,11/30/2026,2026,1440 Action Dr Se Mandan ND,Pam Cousineau,pharmacy@vsi.cc
"Animart, LLC",WDD,Whol1818,US-ND,06/30/2026,2026,1440 Action Dr Se Mandan ND,Pam Cousineau,pharmacy@vsi.cc
"Animart, LLC",WDD,1480,US-NE,07/01/2026,2026,1440 Action Dr Se Mandan ND,Pam Cousineau,pharmacy@vsi.cc
"Animart, LLC",WDD,600-267,US-SD,12/31/2026,2026,1440 Action Dr Se Mandan ND,Pam Cousineau,pharmacy@vsi.cc
"Animart, LLC",WDD,PHWH.FX.60862664,US-WA,09/30/2026,2026,1440 Action Dr Se Mandan ND,Pam Cousineau,pharmacy@vsi.cc
Dakota Drug - Fargo,WDD,5891,US-IA,12/31/2025,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,004.003012,US-IL,12/31/2026,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,5306006029,US-MI,12/02/2026,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,362712,US-MN,05/31/2025,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,2151,US-MT,11/30/2025,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,WHOL717,US-ND,06/30/2025,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,448,US-NE,07/01/2025,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,600-1398,US-SD,12/31/2025,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
Dakota Drug - Fargo,WDD,1875-045,US-WI,05/31/2026,2025,4121 12th Ave NW Fargo ND,Kim Schaefer,kschaefer@dakdrug.com
"Patterson Dental Supply, Inc.",WDD,40008,US-IA,12/31/2026,2026,4821 45TH STREET S FARGO ND,Kelley Karau,facilitylicensing@pattersoncompanies.com
"Patterson Dental Supply, Inc.",WDD,364486,US-MN,05/31/2026,2026,4821 45TH STREET S FARGO ND,Kelley Karau,facilitylicensing@pattersoncompanies.com
