Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
A-S Medication Solutions LLC,WDD,211185,US-AK,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,196656,US-AL,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WD05857,US-AR,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,W003859,US-AZ,10/31/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,OSD7489,US-CA,05/01/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WHO.0008697,US-CO,10/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,CSW.0005282,US-CT,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,DM240000136,US-DC,02/28/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,A4-0013094,US-DE,09/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,232927,US-FL,01/31/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,PHWH005153,US-GA,06/30/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,W70944,US-ID,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,004004040,US-IL,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,48002484A,US-IN,09/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,5-101219,US-KS,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,W03780,US-KY,09/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,10951,US-LA,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,D07341,US-MD,05/31/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WH70003443,US-ME,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,5306007785,US-MI,05/22/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,364640,US-MN,05/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,2020006369,US-MO,10/31/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,18704,US-MS,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,PHA-WDD-LIC-102330,US-MT,11/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,1982,US-NC,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,Whol3005,US-ND,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,1484,US-NE,07/01/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,6179,US-NH,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,5004075,US-NJ,01/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WD00012121,US-NM,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WH03614,US-NV,10/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,040781,US-NY,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,0130000681,US-OH,06/30/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,88-W-4584,US-OK,03/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,W3-0000332,US-OR,09/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,DIS03969,US-RI,09/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,21874,US-SC,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,600-2643,US-SD,12/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,4525,US-TN,02/29/2028,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,1001877,US-TX,01/25/2028,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,13407290-1710,US-UT,09/30/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,0219001663,US-VA,02/28/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,039.0134793,US-VT,07/31/2027,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,PHWH.FX.61448853,US-WA,09/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,10004-45,US-WI,05/31/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WD0560304,US-WV,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
A-S Medication Solutions LLC,WDD,WD2356,US-WY,06/30/2026,2026,1845 N Airport Rd Fremont NE,Walter Hoff,gov@savrx.com
"AIT Worldwide Logistics, Inc.",3PL,,,,2026,6200 North 16th Street Omaha NE,Terry McMullen,tmcmullen@aitworldwide.com
"Animal Health International, Inc.",WDD,40335,US-IA,12/31/2026,2026,120 South Lincoln Avenue Hastings NE,Julie Bostock,Julie.Bostock@animalhealthinternational.com
"Animal Health International, Inc.",WDD,40371,US-IA,12/31/2026,2026,4938 Howard Boulevard Columbus NE,Tina Hein,Tina.Hein@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-125494,US-KS,06/30/2027,2026,4938 Howard Boulevard Columbus NE,Tina Hein,Tina.Hein@animalhealthinternational.com
