Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Acey RX, LLC DBA: NDC Distributors",WDD,209195,US-AK,06/30/2028,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,196370,US-AL,12/31/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,WD05367.,US-AR,12/31/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,W003777,US-AZ,10/31/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,OSD8252,US-CA,05/01/2027,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,WHO.0008684,US-CO,10/31/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,CSW0004236,US-CT,06/30/2027,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,DM2300104,US-DC,05/31/2027,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,A4-0013050,US-DE,09/30/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,232935,US-FL,04/30/2027,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,PHWH005516,US-GA,06/30/2027,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,8462.,US-IA,12/31/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
"Acey RX, LLC DBA: NDC Distributors",WDD,W71075,US-ID,12/31/2026,2026,"4 Corporate Drive, Suite D Cranbury NJ",Elijah Kohn,Elijahk@ndcdrug.com
