Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Animal Health International, Inc.",WDD,WD00012391,US-NM,12/31/2027,2026,5200 E Mabry Drive Clovis NM,Fabian Lopez,fabian.lopez@animalhealthinternational.com
"Animal Health International, Inc.",WDD,88-W-4507,US-OK,12/31/2026,2026,5200 E Mabry Drive Clovis NM,Fabian Lopez,fabian.lopez@animalhealthinternational.com
"Animal Health International, Inc.",WDD,1000866,US-TX,02/21/2028,2026,5200 E Mabry Drive Clovis NM,Fabian Lopez,fabian.lopez@animalhealthinternational.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,W001267,US-AZ,10/31/2027,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,OSD5875,US-CA,10/01/2026,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,WHO.0007297,US-CO,10/31/2026,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,553,US-NE,07/01/2026,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,WD00010512,US-NM,12/31/2027,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,WH01606,US-NV,10/31/2026,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,0085792,US-TX,09/21/2027,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,9281795-1710,US-UT,09/30/2027,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
"Fresenius USA Manufacturing, Inc. DBA: Fresenius Medical Care North America",WDD,1725,US-WY,06/30/2026,2026,549 Sand Sage Road NW Los Lunas NM,Bridget Taylor,Bridget.Taylor@fmc-na.com
New Mexico Department of Health DBA: New Mexico Department of Health,WDD,WD00006218,US-NM,12/31/2025,2025,1301 Siler Rd Bldg. A Santa Fe NM,Courtney Lovato,courtney.lovato@state.nm.us
Owens & Minor Distribution - Albuquerque DC 69,WDD,W002787,US-AZ,10/31/2027,2026,8000 Bluewater Rd. NW Albuquerque NM,Tyler Eelkema,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Albuquerque DC 69,WDD,WHO.0008188,US-CO,10/31/2026,2026,8000 Bluewater Rd. NW Albuquerque NM,Tyler Eelkema,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Albuquerque DC 69,WDD,WD00010633,US-NM,12/31/2027,2026,8000 Bluewater Rd. NW Albuquerque NM,Tyler Eelkema,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Albuquerque DC 69,WDD,1000328,US-TX,02/15/2026,2026,8000 Bluewater Rd. NW Albuquerque NM,Tyler Eelkema,GM-Licensing@owens-minor.com
"Patterson Dental Supply, Inc.",WDD,WHO.0008200,US-CO,10/31/2026,2026,"9550 San Mateo Blvd. NE, Suite E ALBUQUERQUE NM",Kelley Karau,facilitylicensing@pattersoncompanies.com
"Patterson Dental Supply, Inc.",WDD,WD00010982,US-NM,12/31/2026,2026,"9550 San Mateo Blvd. NE, Suite E ALBUQUERQUE NM",Kelley Karau,facilitylicensing@pattersoncompanies.com
"Patterson Dental Supply, Inc.",WDD,1000840,US-TX,02/26/2027,2026,"9550 San Mateo Blvd. NE, Suite E ALBUQUERQUE NM",Kelley Karau,facilitylicensing@pattersoncompanies.com
