Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Aditus Pharma OH, LLC",WDD,130000694,US-OH,06/30/2027,2026,8946 Global Way West Chester OH,Bob Highfill,b.highfill@adituspharma.com
"Advanced Health Technologies, Inc. DBA: GEM Wholesale Drug",WDD,W003337,US-AZ,10/31/2026,2025,5640 Hudson Industrial Pkwy Hudson OH,Brandon Ra,bra@gemedwardspharmacy.com
"Advanced Health Technologies, Inc. DBA: GEM Wholesale Drug",WDD,004.004819,US-IL,12/31/2026,2025,5640 Hudson Industrial Pkwy Hudson OH,Brandon Ra,bra@gemedwardspharmacy.com
"Advanced Health Technologies, Inc. DBA: GEM Wholesale Drug",WDD,5-110147,US-KS,06/30/2025,2025,5640 Hudson Industrial Pkwy Hudson OH,Brandon Ra,bra@gemedwardspharmacy.com
"Advanced Health Technologies, Inc. DBA: GEM Wholesale Drug",WDD,012661100,US-OH,06/30/2025,2025,5640 Hudson Industrial Pkwy Hudson OH,Brandon Ra,bra@gemedwardspharmacy.com
"Advanced Health Technologies, Inc. DBA: GEM Wholesale Drug",WDD,00005680,US-TN,08/31/2025,2025,5640 Hudson Industrial Pkwy Hudson OH,Brandon Ra,bra@gemedwardspharmacy.com
"Advanced Health Technologies, Inc. DBA: GEM Wholesale Drug",WDD,1002845,US-TX,09/29/2025,2025,5640 Hudson Industrial Pkwy Hudson OH,Brandon Ra,bra@gemedwardspharmacy.com
Advantus Health Partners - Distribution Services LLC,WDD,0130000692,US-OH,06/30/2025,2025,7160 Industrial Row Dr. Suite 334 Mason OH,Travis Allread,tdallread@advantushp.com
Advantus Health Partners - Distribution Services LLC,3PL,0170000133,US-OH,06/30/2025,2025,7160 Industrial Row Dr. Suite 334 Mason OH,Travis Allread,tdallread@advantushp.com
Aero Fulfillment Services Corporation DBA: Aero Fulfillment Services Corporation,3PL,,,,2026,6023 Union Center Blvd West Chester OH,Dean Studer,Dean.Studer@aerofulfillment.com
Aero Fulfillment Services Corporation DBA: Aero Fulfillment Services Corporation,3PL,,,,2026,3900 Aero Dr Mason OH,Dean Studer,Dean.Studer@aerofulfillment.com
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,W003378,US-AZ,10/31/2025,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,8062,US-CA,04/01/2025,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,CSW.0004182,US-CT,06/30/2025,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,232908,US-FL,08/31/2024,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,40294,US-IA,12/31/2025,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,004.005145,US-IL,12/31/2026,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,48002493A,US-IN,09/30/2026,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
AMD Medicom Inc. DBA: AMD Medicom Inc.,WDD,W04596,US-KY,09/30/2025,2025,Lockbourne OH,Justin Simms,licenses@medicom.ca
