Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Covetrus North America, LLC DBA: Covetrus North America",WDD,187199,US-AK,06/30/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,OSD7954,US-CA,02/01/2027,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,WHO.0007244,US-CO,10/31/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,W68001,US-ID,12/31/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,PHA-WDD-LIC-83565,US-MT,11/30/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,WH01380,US-NV,10/31/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,W1-0004035,US-OR,09/30/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,600-1253,US-SD,12/31/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,12966322-1710,US-UT,09/30/2027,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,PHWH.FX.60135150,US-WA,09/30/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
"Covetrus North America, LLC DBA: Covetrus North America",WDD,WD-2253,US-WY,06/30/2026,2026,19905 SW 95th Avenue Tualatin OR,Stephanie White,cvet-na-licensing@covetrus.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,156837,US-AK,06/30/2028,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,192118,US-AL,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,WD01976,US-AR,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,W000620,US-AZ,10/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,OSD4242,US-CA,03/01/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,WHO.0007238,US-CO,10/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,CSW.0001131,US-CT,06/30/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,DM0100622,US-DC,05/31/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,A4-0000708,US-DE,09/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,PHWH001377,US-GA,06/30/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,5773,US-IA,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,W943,US-ID,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,004.001436,US-IL,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,5-01219,US-KS,06/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,W02316,US-KY,09/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,2980,US-LA,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,WH70001073,US-ME,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,5306001678,US-MI,04/20/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,2002020925,US-MO,10/31/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,15423/16.5a,US-MS,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,PHA-WDD-LIC-2177,US-MT,11/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,302,US-NC,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,Whol602,US-ND,06/30/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,1150,US-NE,07/01/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,3973,US-NH,06/30/2028,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,5003587,US-NJ,01/31/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,WD00011748,US-NM,12/31/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,WH00875,US-NV,10/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,88-W-312,US-OK,06/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,W1-0001050-CS,US-OR,09/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,DIS01008,US-RI,09/30/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,13307,US-SC,06/30/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,600-0501,US-SD,12/31/2026,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,0000001469,US-TN,06/30/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,0041088,US-TX,07/31/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
McKesson Corporation (Portland) DBA: McKesson Drug Company,WDD,9094493-1710,US-UT,09/30/2027,2026,Wilsonville OR,Andreina Battilega,Andreina.Battilega@mckesson.com
