Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
Claflin Company,WDD,WSL00051,US-RI,09/30/2018,2025,455 Warwick Industrial Dr. Warwick RI,Lou Andreozzi,landreozzi@claflin.com
Kent County Memorial Hospital,WDD,3000010570,US-PA,01/31/2027,2026,455 Tollgate Rd Warwick RI,Joshua Alonzo,Jalonzo@carene.org
Kent County Memorial Hospital,WDD,WSL00178,US-RI,09/30/2026,2026,455 Tollgate Rd Warwick RI,Joshua Alonzo,Jalonzo@carene.org
Kent County Memorial Hospital,WDD,00010571,US-TN,10/31/2026,2026,455 Tollgate Rd Warwick RI,Joshua Alonzo,Jalonzo@carene.org
Rhode Island Blood Center DBA: Rhode Island Blood Center,WDD,CSW.0002675,US-CT,06/30/2025,2025,405 Promenade St Providence RI,Darlene Folan,DFolan@ribc.org
Rhode Island Blood Center DBA: Rhode Island Blood Center,WDD,MNF00147,US-RI,09/30/2025,2025,405 Promenade St Providence RI,Darlene Folan,DFolan@ribc.org
Rhode Island Hospital,WDD,WSL00183,US-RI,09/30/2026,2025,593 Eddy Street Providence RI,Karen Nolan,knolan@brownhealth.org
Rhode Island Hospital,WDD,11033,US-TN,04/30/2027,2025,593 Eddy Street Providence RI,Karen Nolan,knolan@brownhealth.org
Thundermist Health Center,WDD,WSL00185,US-RI,09/30/2026,2026,Woonsocket RI,Chris Durigan,christopherdu@thundermisthealth.org
Women and Infants Hospital of Rhode Island,WDD,3000010610,US-PA,04/30/2026,2026,101 Dudley St Providence RI,Joshua Alonzo,jalonzo@carene.org
Women and Infants Hospital of Rhode Island,WDD,WSL00180,US-RI,09/30/2026,2026,101 Dudley St Providence RI,Joshua Alonzo,jalonzo@carene.org
Women and Infants Hospital of Rhode Island,WDD,00010754,US-TN,10/31/2026,2026,101 Dudley St Providence RI,Joshua Alonzo,jalonzo@carene.org
