Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Animal Health International, Inc.",WDD,WD05029,US-AR,12/31/2026,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WHO.0008012,US-CO,10/31/2026,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,41101,US-IA,12/31/2026,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-125498,US-KS,06/30/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5306005112,US-MI,06/01/2028,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,363405,US-MN,05/31/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,2017035338,US-MO,10/31/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,PHA-WDD-LIC-53000,US-MT,11/30/2026,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,Whol1749,US-ND,06/30/2027,2026,2840 Vanocker Canyon Road Sturgis SD,Jon Kaye,jon.kaye@animalhealthinternational.com
"Animal Health International, Inc.",WDD,Whol1748,US-ND,06/30/2027,2026,2340 West Havens Street Mitchell SD,Craig Zens,craig.zens@animalhealthinternational.com
"Animal Health International, Inc.",WDD,Whol1807,US-ND,06/30/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,1545,US-NE,07/01/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,0132000010,US-OH,06/30/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,88-W-4497,US-OK,12/31/2026,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,600-2505,US-SD,12/31/2026,2026,2340 West Havens Street Mitchell SD,Craig Zens,craig.zens@animalhealthinternational.com
"Animal Health International, Inc.",WDD,600-2503,US-SD,12/31/2026,2026,2840 Vanocker Canyon Road Sturgis SD,Jon Kaye,jon.kaye@animalhealthinternational.com
"Animal Health International, Inc.",WDD,600-2481,US-SD,12/31/2026,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,1002491,US-TX,05/10/2028,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,2896-45,US-WI,05/31/2028,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD1899,US-WY,06/30/2027,2026,2840 Vanocker Canyon Road Sturgis SD,Jon Kaye,jon.kaye@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD2498,US-WY,06/30/2027,2026,4305 North Westport Avenue Sioux Falls SD,Ron McNamara,ron.mcnamara@animalhealthinternational.com
Animart LLC,WDD,42132,US-IA,12/31/2026,2026,27058 Mueller Place Suit 1 Sioux Falls SD,Pam Cousineau,pharmacy@vsi.cc
Animart LLC,WDD,5-121539,US-KS,06/30/2026,2026,27058 Mueller Place Suit 1 Sioux Falls SD,Pam Cousineau,pharmacy@vsi.cc
Animart LLC,WDD,1711,US-NE,07/01/2026,2026,27058 Mueller Place Suit 1 Sioux Falls SD,Pam Cousineau,pharmacy@vsi.cc
Animart LLC,WDD,600-3284,US-SD,12/31/2026,2026,27058 Mueller Place Suit 1 Sioux Falls SD,Pam Cousineau,pharmacy@vsi.cc
Concordance Healthcare Solutions LLC,3PL,,,,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,8145,US-IA,12/31/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,364657,US-MN,05/31/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,PHA-WDD-LIC-111736,US-MT,11/30/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,Whol2146,US-ND,06/30/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,1415,US-NE,07/01/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,600-0141,US-SD,12/31/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Concordance Healthcare Solutions LLC DBA: Concordance Healthcare Solutions LLC,WDD,WD2124,US-WY,06/30/2026,2026,3901 W 345th St N Sioux Falls SD,Mark Sullivan,msullivan@concordancehs.com
Owens & Minor Distribution - Sioux Falls DC06,WDD,42061,US-IA,12/31/2026,2026,3901 W. Memory Circle Sioux Falls SD,Robert Evans,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Sioux Falls DC06,WDD,381999,US-MN,05/31/2026,2026,3901 W. Memory Circle Sioux Falls SD,Robert Evans,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Sioux Falls DC06,WDD,Whol3386,US-ND,06/30/2026,2026,3901 W. Memory Circle Sioux Falls SD,Robert Evans,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Sioux Falls DC06,WDD,1921,US-NE,07/01/2026,2026,3901 W. Memory Circle Sioux Falls SD,Robert Evans,GM-Licensing@owens-minor.com
Owens & Minor Distribution - Sioux Falls DC06,WDD,600-3739,US-SD,12/31/2026,2026,3901 W. Memory Circle Sioux Falls SD,Robert Evans,GM-Licensing@owens-minor.com
Sanford Health DBA: Sanford USD Medical Center,WDD,600-3253,US-SD,12/31/2023,2025,1305 W 18th St Sioux Falls SD,Alyssa Howard,alyssa.howard@sanfordhealth.org
