Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,218886,US-AK,06/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,196257,US-AL,12/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,WD05897,US-AR,12/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,W003604,US-AZ,10/31/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,WHO.0008586,US-CO,10/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,CSW.0004934,US-CT,06/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,232842,US-FL,09/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,PHWH005343,US-GA,06/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,PM-1811,US-HI,12/31/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,004.005107,US-IL,12/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,5-121031,US-KS,06/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,W04091,US-KY,09/30/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,11007,US-LA,12/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,5306007105,US-MI,12/14/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,2021036440,US-MO,10/31/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,18378,US-MS,12/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,1938,US-NC,12/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,WD20220179,US-NM,12/31/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,WH03623,US-NV,10/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,88-W-8101,US-OK,08/31/2026,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,11000004202,US-PA,06/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,4669,US-TN,02/29/2028,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,12751061-1710,US-UT,09/30/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,0219002095,US-VA,02/28/2027,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"Advanced Rx Pharmacy of Tennessee, LLC DBA: Advanced Rx of Tennessee",WDD,10144-45,US-WI,05/31/2028,2026,1400 Donelson Pike Ste A14 Nashville TN,Robert Byrd,rbyrd@advancedrxmgt.com
"AK MEDICAL SUPPLY CO., INC.",WDD,W003474,US-AZ,10/31/2027,2026,5455 Crestview Ste 8 Memphis TN,LARRY SOLOMON,akmsls@aol.com
"AK MEDICAL SUPPLY CO., INC.",WDD,OSD6884,US-CA,05/01/2026,2026,5455 Crestview Ste 8 Memphis TN,LARRY SOLOMON,akmsls@aol.com
"AK MEDICAL SUPPLY CO., INC.",WDD,WHO.0008802,US-CO,10/31/2026,2026,5455 Crestview Ste 8 Memphis TN,LARRY SOLOMON,akmsls@aol.com
"AK MEDICAL SUPPLY CO., INC.",WDD,W04906,US-KY,09/30/2026,2026,5455 Crestview Ste 8 Memphis TN,LARRY SOLOMON,akmsls@aol.com
"AK MEDICAL SUPPLY CO., INC.",WDD,3666,US-LA,12/31/2026,2026,5455 Crestview Ste 8 Memphis TN,LARRY SOLOMON,akmsls@aol.com
"AK MEDICAL SUPPLY CO., INC.",WDD,0000001385,US-TN,11/30/2026,2026,5455 Crestview Ste 8 Memphis TN,LARRY SOLOMON,akmsls@aol.com
"Animal Health International, Inc.",WDD,400356,US-AL,12/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,WD02461,US-AR,12/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,W003284,US-AZ,10/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,A4-0002562,US-DE,09/30/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,4423,US-FL,02/29/2028,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,PHWH003838,US-GA,06/30/2027,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,41104,US-IA,12/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5-125507,US-KS,06/30/2027,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,W03674,US-KY,09/30/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,8508,US-LA,12/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,2017000672,US-MO,10/31/2027,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,16005/16.6A,US-MS,12/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,649,US-NC,12/31/2026,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,Whol1750,US-ND,06/30/2027,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
"Animal Health International, Inc.",WDD,5004338,US-NJ,01/31/2027,2026,3785 Distriplex Drive North Memphis TN,Sean Moore,Sean.Moore@animalhealthinternational.com
