Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"ABC Logistical Resources, LLC DBA: ABC Logistical Resources, LLC",3PL,1003081,US-TX,09/21/2026,2026,1246 CR 1003 Greenville TX,Stanley Alan Hempstead,abclogisticalresources@gmail.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,214264,US-AK,06/30/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,196649,US-AL,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,WD05933,US-AR,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,W003858,US-AZ,10/31/2027,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,OSD8444,US-CA,05/01/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,WHO.0008723,US-CO,10/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,CSW.0005291,US-CT,06/30/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,DM240000316,US-DC,10/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,PHWH005755,US-GA,06/30/2027,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,W73908,US-ID,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,004.005424,US-IL,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,5-121727,US-KS,06/30/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,W04869,US-KY,09/30/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,11167,US-LA,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,5306007645,US-MI,03/07/2028,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,381872,US-MN,05/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,2024005533,US-MO,10/31/2027,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,18871,US-MS,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,PHA-WDD-LIC-104171,US-MT,11/30/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,1983,US-NC,12/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,1839,US-NE,07/01/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,07988,US-NH,02/06/2028,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,0749791,US-NJ,01/31/2027,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,WD20220158,US-NM,12/31/2027,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,WH03739,US-NV,10/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
"Advanced Medical Sales, Inc. DBA: Advanced Med Sales, Inc.",WDD,040478,US-NY,07/31/2026,2026,2304 Seaborn Rd. Suite 100 Ponder TX,Michael Rocha,mike@ams-rx.com
