Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,WD05218,US-AR,12/31/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,CSW.0001764,US-CT,06/30/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,A4-0013042,US-DE,09/30/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,PHWH004648,US-GA,06/30/2025,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,WH70002777,US-ME,12/31/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,2037,US-NH,06/30/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,5005250,US-NJ,01/31/2027,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,026491,US-NY,12/31/2027,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,132000041,US-OH,06/30/2027,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,3000009634,US-PA,03/31/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,DIS02155,US-RI,09/30/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,18100,US-SC,06/30/2026,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
"Burlington Drug Company, Inc. dba Smith Drug Company DBA: Smith Drug Company",WDD,39.0127060,US-VT,07/31/2027,2026,Milton VT,Robert Barrett,statelicensing@smithdrug.com
