Facility Name,Facility Type,License Number,License State,License Expire,Reporting Year,Address,Facility Contact Name,Facility Contact Email
Bison RX Inc,WDD,WD0560280,US-WV,06/30/2026,2026,20442 Charleston Rd Buffalo WV,Kristine Tucker,bisonrxinc@gmail.com
Camden-Clark Memorial Hospital dba Camden Clark Medical Center DBA: Camden Clark Medical Center,WDD,11547,US-TN,07/31/2027,2026,800 GARFIELD AVE PARKERSBURG WV,Karen Famoso,karen.famoso@wvumedicine.org
Camden-Clark Memorial Hospital dba Camden Clark Medical Center DBA: Camden Clark Medical Center,WDD,WD0560666,US-WV,06/30/2026,2026,800 GARFIELD AVE PARKERSBURG WV,Karen Famoso,karen.famoso@wvumedicine.org
"Cardinal Health 110, LLC",WDD,OSD4879,US-CA,06/01/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,DM1200108,US-DC,12/31/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,48001949A,US-IN,09/30/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,W02237,US-KY,09/30/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,D00321,US-MD,05/31/2027,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,5306003007,US-MI,05/28/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,2003014933,US-MO,10/31/2027,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,15625/16.5a,US-MS,12/31/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,1302,US-NC,12/31/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,033055,US-NY,07/31/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,WHS.010627150-03,US-OH,06/30/2027,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,3000008237,US-PA,01/31/2027,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,0219001470,US-VA,02/28/2027,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
"Cardinal Health 110, LLC",WDD,WD0552012,US-WV,06/30/2026,2026,71 Mil-Acres Drive Wheeling WV,Keegan Chamberlain,licensure@cardinalhealth.com
